Duration_Days,Budget_Utilization,Scope_Changes,Team_Experience,Methodology,Resource_Count,Risk_Level
132,93,8,6.6,Agile,14,Low
300,79,1,5.9,Waterfall,18,Low
136,95,9,4.9,Agile,10,Low
101,55,7,6.2,Agile,16,Low
218,86,1,4.2,Waterfall,19,Low
50,73,4,4.5,Agile,10,Low
132,95,6,5.8,Agile,17,Low
151,102,7,1.6,Waterfall,16,High
244,109,0,3.1,Waterfall,9,Medium
360,112,5,5.9,Waterfall,5,Medium
117,81,0,4.9,Hybrid,14,Low
129,82,1,4.0,Hybrid,5,Low
181,116,0,7.6,Waterfall,16,Low
160,67,4,7.2,Waterfall,17,Low
179,74,9,2.5,Waterfall,16,Medium
338,103,8,8.9,Hybrid,9,High
287,107,5,5.5,Hybrid,19,Medium
323,116,0,7.7,Agile,14,Medium
221,95,0,6.2,Agile,6,Low
306,73,1,10.0,Waterfall,11,Low
190,81,8,7.8,Hybrid,8,Low
343,96,2,7.4,Hybrid,18,Low
51,72,0,8.0,Hybrid,4,Low
282,115,4,2.3,Waterfall,10,High
265,76,6,2.8,Agile,13,High
78,51,5,7.4,Waterfall,15,Low
88,66,0,5.4,Agile,19,Low
199,82,4,7.8,Agile,10,Low
217,58,4,1.9,Waterfall,16,Medium
300,92,5,5.8,Agile,17,Low
219,97,2,4.4,Agile,8,Low
204,88,4,5.1,Hybrid,13,Low
80,91,6,6.4,Agile,15,Low
84,75,4,5.5,Waterfall,3,Low
273,99,4,5.9,Waterfall,8,Low
349,74,4,5.4,Agile,11,Low
160,73,9,4.7,Hybrid,10,Low
336,62,9,7.9,Hybrid,13,Medium
164,109,2,1.1,Agile,11,Medium
50,56,0,6.4,Agile,19,Low
358,106,4,6.1,Waterfall,14,Medium
196,85,8,7.4,Agile,16,Low
303,94,0,6.4,Hybrid,17,Low
118,69,2,8.4,Agile,18,Low
345,114,3,9.6,Waterfall,3,High
43,57,0,4.1,Waterfall,12,Low
271,65,0,3.0,Waterfall,10,Low
294,63,7,4.8,Waterfall,3,High
82,64,1,3.6,Waterfall,4,Low
121,115,7,6.5,Agile,3,High
293,81,6,9.2,Agile,3,High
64,112,9,2.3,Agile,11,High
235,100,9,1.9,Agile,15,High
110,74,1,3.3,Waterfall,3,Low
79,107,5,7.5,Hybrid,15,Low
31,112,5,6.3,Agile,9,Low
83,111,2,1.9,Hybrid,4,High
135,71,1,9.3,Agile,8,Low
289,107,0,8.1,Agile,9,Medium
339,107,5,1.2,Hybrid,16,High
220,98,4,6.9,Waterfall,17,Low
247,101,8,7.9,Agile,4,High
73,91,0,4.4,Agile,12,Low
191,119,6,1.6,Agile,14,High
231,64,4,1.7,Hybrid,19,Medium
299,103,4,1.9,Waterfall,10,High
333,109,1,8.6,Hybrid,13,Medium
300,57,2,9.2,Hybrid,5,Low
244,102,6,2.1,Waterfall,8,High
281,109,5,3.1,Hybrid,11,Medium
219,54,1,2.5,Waterfall,8,Medium
325,117,5,2.7,Agile,11,High
242,55,1,8.5,Waterfall,9,Low
237,96,1,4.0,Agile,11,Low
266,104,1,3.8,Hybrid,14,Medium
82,89,2,3.0,Hybrid,10,Low
309,101,1,6.5,Agile,10,Medium
246,65,3,4.4,Hybrid,17,Low
281,62,8,7.7,Waterfall,9,Medium
217,79,5,2.9,Agile,13,Medium
70,68,0,8.1,Hybrid,18,Low
186,66,7,6.4,Agile,6,Low
44,112,6,2.0,Waterfall,8,High
330,68,9,4.7,Waterfall,5,Medium
94,107,2,8.8,Hybrid,11,Low
356,104,0,9.3,Waterfall,12,Medium
38,111,4,5.2,Agile,16,Low
158,72,3,5.3,Waterfall,13,Low
165,58,9,9.3,Agile,14,Low
92,61,7,6.3,Agile,14,Low
168,50,0,1.3,Waterfall,15,Low
110,107,9,9.2,Hybrid,15,Medium
192,50,0,3.2,Waterfall,16,Low
318,83,3,6.2,Agile,6,Low
290,97,7,2.5,Agile,15,High
260,50,4,1.3,Waterfall,10,Medium
70,65,1,3.8,Hybrid,14,Low
57,110,5,8.0,Hybrid,8,Low
164,113,4,3.5,Agile,7,Low
230,112,1,3.0,Agile,11,Medium
357,118,2,2.9,Hybrid,5,High
297,71,8,5.6,Waterfall,12,Medium
62,116,6,9.8,Agile,5,Medium
77,75,6,5.1,Agile,17,Low
91,65,5,6.0,Hybrid,3,Low
245,100,7,8.7,Waterfall,9,Medium
322,106,3,5.8,Hybrid,14,Medium
128,78,7,2.7,Waterfall,19,Medium
201,118,3,3.7,Waterfall,7,Medium
243,96,7,3.8,Waterfall,6,Medium
64,111,8,4.6,Agile,14,Medium
256,118,2,4.8,Hybrid,19,Medium
130,65,2,8.2,Hybrid,11,Low
160,97,1,4.1,Waterfall,6,Low
286,88,9,5.2,Agile,4,High
34,82,2,6.6,Agile,6,Low
247,72,2,4.4,Hybrid,4,Medium
284,59,4,8.5,Agile,17,Low
312,118,4,6.3,Agile,4,High
236,83,1,3.6,Waterfall,6,Low
44,101,9,7.4,Agile,8,Medium
71,59,5,5.7,Waterfall,9,Low
208,68,4,5.8,Hybrid,12,Low
92,107,5,5.3,Agile,14,Low
260,50,0,5.5,Hybrid,5,Low
270,118,4,7.9,Hybrid,15,Medium
81,53,8,1.9,Agile,10,Medium
125,65,9,4.0,Agile,17,Low
251,73,1,1.7,Hybrid,3,High
260,51,0,7.8,Agile,5,Low
266,81,9,3.5,Waterfall,10,Medium
172,73,8,9.1,Waterfall,6,Low
200,61,9,5.7,Agile,18,Low
58,99,8,8.2,Hybrid,12,Low
65,84,8,9.8,Agile,14,Low
42,82,5,8.6,Agile,16,Low
189,82,7,8.8,Hybrid,16,Low
356,110,0,4.7,Hybrid,4,High
216,100,9,6.0,Waterfall,7,Medium
272,92,3,3.3,Hybrid,7,Low
115,61,0,2.8,Waterfall,8,Low
313,116,7,5.5,Hybrid,15,High
95,114,0,6.4,Agile,11,Low
199,82,2,4.1,Waterfall,17,Low
74,89,3,6.1,Waterfall,16,Low
91,92,7,9.0,Waterfall,9,Low
163,93,5,6.0,Agile,4,Low
313,78,9,7.5,Agile,9,Medium
57,62,6,8.2,Agile,8,Low
137,61,7,9.9,Agile,19,Low
73,95,1,6.4,Agile,4,Low
315,51,9,8.3,Waterfall,5,Medium
360,84,7,9.7,Agile,7,Medium
157,57,2,9.5,Waterfall,7,Low
260,75,6,2.3,Agile,3,High
219,83,2,4.7,Hybrid,10,Low
254,56,6,3.9,Waterfall,14,Medium
312,117,1,1.8,Hybrid,6,High
150,107,9,6.7,Waterfall,15,Medium
145,78,5,7.6,Hybrid,17,Low
262,85,2,8.6,Agile,13,Low
288,70,2,2.1,Agile,12,Medium
227,85,8,8.9,Agile,5,Medium
166,59,6,6.8,Waterfall,16,Low
347,73,4,7.3,Hybrid,18,Low
194,113,9,9.2,Agile,12,Medium
254,98,6,6.6,Hybrid,12,Medium
336,85,8,4.0,Hybrid,14,Medium
263,73,0,8.4,Agile,11,Low
201,72,6,4.3,Agile,3,High
181,111,5,1.3,Hybrid,7,Medium
344,86,9,8.5,Agile,10,Medium
189,61,8,4.1,Agile,13,Low
125,104,0,8.0,Agile,14,Low
262,62,3,4.3,Waterfall,3,Medium
209,72,8,8.7,Hybrid,13,Medium
142,79,3,3.0,Hybrid,7,Low
347,66,9,9.8,Waterfall,17,Medium
81,111,2,8.0,Hybrid,7,Low
297,62,8,2.0,Agile,14,High
324,108,1,6.1,Hybrid,7,Medium
142,68,3,9.9,Agile,19,Low
130,98,5,5.2,Waterfall,19,Low
142,61,1,2.6,Agile,14,Low
110,110,7,5.4,Hybrid,17,Medium
216,68,7,5.6,Hybrid,17,Medium
142,58,0,7.7,Hybrid,8,Low
31,77,2,7.3,Waterfall,14,Low
159,101,9,4.6,Waterfall,16,Medium
249,65,8,3.0,Hybrid,4,High
83,118,4,6.8,Agile,11,Low
253,61,5,4.8,Waterfall,7,Low
254,74,3,2.2,Hybrid,3,High
155,101,9,9.1,Hybrid,5,Medium
159,102,1,7.2,Waterfall,8,Low
